fid,ID,FEATCODE,layer,area,BUA22NM
111,2372B8EF-722C-4BA4-A964-1264201E98BA,25612,NS_Foreshore,30068,Alloa
112,20E72CDD-41B9-4681-B626-412D038F1BD6,25612,SE_Foreshore,19,Huddersfield
113,9A2FE7FD-487C-4499-A452-68F5474625EB,25612,TR_Foreshore,1185786,Whitstable
114,C31A3F36-8A4C-41F2-9275-5B7514B4E938,25612,SX_Foreshore,19860,Torquay
115,5B7CBA0A-9CE1-45D6-8C70-D60C40D33BAE,25612,NX_Foreshore,3828,Whitehaven
116,B3FCCF34-64F4-43A7-B989-B3772E44D4C4,25612,TQ_Foreshore,106186,Kensington and Chelsea
117,43132CF1-1BC6-41D9-B593-F361051A43DA,25612,NS_Foreshore,253492,Prestwick
118,8745BE36-6A83-458A-AAB6-755220D4370E,25612,SU_Foreshore,26561,Totton
119,DC1D2DA4-9655-454E-8932-735ABA814957,25612,TQ_Foreshore,773301,Newham
120,C1F13BB1-8F7B-4A57-A6CC-22A21C41C979,25612,SU_Foreshore,88678,Locks Heath
121,74CD1BEE-1D8F-417A-BC78-13D4717C63CD,25612,TG_Foreshore,91208,Lowestoft
122,2C974B56-9613-4467-BFBE-A15DD7E6E4FE,25612,SD_Foreshore,40593,Blackpool
123,F966B10D-66DD-4D94-A913-83FC8E92100C,25612,NO_Foreshore,30388,Dundee
124,B3FCCF34-64F4-43A7-B989-B3772E44D4C4,25612,TQ_Foreshore,185,Camden
125,3418A8B4-BEB5-452D-A65C-3410CE380CFE,25612,TQ_Foreshore,1523,Hackney
126,118824FC-73DF-435D-A197-340D4EDAAF8E,25612,TQ_Foreshore,294978,Gillingham (Medway)
127,849940DD-8180-4D7B-8911-C89DDFF11A58,25612,TQ_Foreshore,2202,Thundersley and South Benfleet
128,BE576DB4-AB50-4778-915C-E612EE30F5A1,25612,TR_Foreshore,170576,Folkestone
129,688EAED4-6C9F-4E0F-AE40-6295C858D7F9,25612,TQ_Foreshore,7817,Rustington
130,8C7DD614-9582-48F3-8777-5A23FB6A334F,25612,NZ_Foreshore,29416,Ashington (Northumberland)
131,CD9FE736-FCA5-494B-950A-CEC15502FF58,25612,SX_Foreshore,54404,Exmouth
132,DC7D3D36-7F3E-4B9F-B1A1-08C9BCD902BE,25612,TR_Foreshore,64189,Dover
133,118824FC-73DF-435D-A197-340D4EDAAF8E,25612,TQ_Foreshore,55923,Chatham
134,137BBD67-153D-4EED-A799-C71859F443AB,25612,SH_Foreshore,30404,Colwyn Bay
135,48C5F547-F168-4294-BE7A-B301DD468002,25612,NZ_Foreshore,304127,Newcastle upon Tyne
136,1E6275ED-630F-49F1-8329-D0924A2140D9,25612,TQ_Foreshore,12845,Seaford
137,3893D5D1-596B-487C-A9CC-C082DC467586,25612,SU_Foreshore,126880,Gosport
138,E458E0E2-8B5E-46D1-B81F-BE64724B393D,25612,TF_Foreshore,11346,Skegness
139,9F2D369F-79E3-458C-8974-4EF6A6374BA6,25612,SJ_Foreshore,42835,Wallasey
140,E1363716-B536-4FB8-9478-25079EE47814,25612,SN_Foreshore,53874,Llanelli
141,FE8822D9-8DB5-4F36-A8A7-8A66CFAE7E7E,25612,SU_Foreshore,26043,Lee-on-the-Solent
142,54D59869-7015-4243-B04D-4182B13E6BE9,25612,TR_Foreshore,268020,Ramsgate
143,0720A098-23FF-46F8-A75A-0A38C722713A,25612,SW_Foreshore,27475,Newquay
144,4EFB1E84-533E-4345-B880-AD4F70EF3510,25612,SZ_Foreshore,60862,"Christchurch (Bournemouth, Christchurch and Poole)"
145,A6810C70-1E61-43ED-92EA-C9FF65F49B7E,25612,SE_Foreshore,42,Leeds
146,C31A3F36-8A4C-41F2-9275-5B7514B4E938,25612,SX_Foreshore,28783,Paignton
147,62540225-FBDB-4BF1-BF54-028BE276C447,25612,TQ_Foreshore,1527,Basildon
