"name","Deciduous woodland","Coniferous woodland","Arable","Improved grassland","Neutral grassland","Calacareous grassland","Acid grassland","Fen","Heather","Heather grassland","Bog","Inland rock","Saltwater","Freshwater","Supralittoral rock","Supralittoral sediment","Littoral rock","Littoral sediment","Saltmarsh","Urban","Suburban","total_ceh","surface_water_area","foreshore_area","tidal_water_area","original_bua_area","200m_buff_area","class","population_counts","long","lat","imdd_weight_av","country","lc_lu_total","Littoral sediment_1","Saltwater_1","Freshwater_1","total_cover","green","blue","grey","bgg_check","perc_green","perc_blue","perc_grey"
"Derby",4451640.526,99536.96221,7930087.005,12281189.44,200.1521705,0,0,4223.758868,8112.890176,46484.60166,0,4103.164988,0,286111.6105,0,0,0,0,0,16547087.94,43658536.48,85317314.5315725,904314,0,0,65382575,86221829,"inland",275575,52.91235335,-1.466779834,5.127176654,"england",86221628.5315725,0,0,1190425.6105,86221628.5315725,24821354.7422045,1194649.369368,60205624.42,86221628.5315725,28.7878519171271,1.38555648937963,69.8265915934933
"Dereham",812886.3876,11687.45571,1965839.541,1804297.227,0,0,0,28726.09676,99.98053166,0,0,0,0,1323.11896,0,0,0,0,0,699222.9079,5692082.525,11016165.2404617,47334,0,0,6652576,11063500,"inland",20785,52.67667501,0.943511908,5.323750379,"england",11063499.2404617,0,0,48657.11896,11063499.2404617,4594810.59184166,77383.21572,6391305.4329,11063499.2404617,41.5312596130293,0.699446115899683,57.769294271071
"Dewsbury",2287352.612,700.5476504,1690626.917,5010035.702,200.156251,16512.9126,23933.94301,500.3908408,1000.782716,137382.8143,0,0,0,195202.6701,0,0,0,0,0,4573400.675,10892133.99,24828984.1134682,472847,75,0,15579693,25301906,"inland",63720,53.68485404,-1.633379709,2.987180878,"england",25301906.1134682,75,0,668049.6701,25301906.1134682,9167746.3875274,668625.0609408,15465534.665,25301906.1134682,36.2334218869282,2.64258770838175,61.1239904046901
"Didcot",196912.8587,6606.022436,2651298.447,1530517.671,1070908.929,0,0,0,66905.07047,0,0,0,0,22632.66327,0,0,0,0,0,2064971.948,5763303.28,13374056.889876,62152,0,0,8965300,13436209,"inland",34600,51.61115372,-1.248050092,8.128423938,"england",13436208.889876,0,0,84784.66327,13436208.889876,5523148.998606,84784.66327,7828275.228,13436208.889876,41.1064537912001,0.63101626332919,58.2625299454707
"Doncaster",3673823.174,56099.57022,4628192.029,3019762.431,836299.8057,1236.610074,0,117659.3305,0,52149.91926,11384.58441,0,0,561045.6955,0,0,0,0,0,9249644.56,17069912.13,39277209.839664,1454409,0,12177,30629306,40743796,"inland",87455,53.51439507,-1.106909303,3.663533915,"england",40743795.839664,0,12177,2015454.6955,40743795.839664,12267563.539254,2156675.61041,26319556.69,40743795.839664,30.1090344835067,5.2932613811855,64.5977041353078
"Dover",1272032.096,32194.66894,702451.9258,853710.3868,2498.793052,3900703.975,0,0,0,0,0,0,24975.71608,4468.190371,0,72334.23957,0,45640.55775,19528.79458,2793395.307,5237400.095,14961334.745943,130622,64189,2116634,8451929,17276895,"coastal",36360,51.12776226,1.303712907,3.985339762,"england",17272779.745943,109829.55775,2141609.71608,135090.190371,17272779.745943,6763591.845592,2478392.498351,8030795.402,17272779.745943,39.1575180432705,14.3485445585741,46.4939373981554
"Droitwich Spa",779821.9858,18178.85784,1058084.956,1673614.599,419120.1707,0,0,3002.386082,0,0,0,0,0,198519.5817,0,0,0,0,0,1096895.436,6072466.184,11319704.157122,233582,0,0,7389622,11553286,"inland",26420,52.26251927,-2.155147633,6.348343799,"england",11553286.157122,0,0,432101.5817,11553286.157122,3948820.56934,435103.967782,7169361.62,11553286.157122,34.1791981574503,3.76606241604932,62.0547394265004
"Dudley (Dudley)",1877929.421,18194.53804,252400.3773,1528633.317,797.2498612,1335.120456,0,700.5578023,1908.663867,0,0,0,0,78432.33436,0,0,0,0,0,6820688.104,10817724.09,21398743.7736865,275454,0,0,15200230,21674198,"inland",64270,52.50473137,-2.091748971,2.521514248,"england",21674197.7736865,0,0,353886.33436,21674197.7736865,3681198.6875242,354586.8921623,17638412.194,21674197.7736865,16.984244242679,1.63598623517584,81.3797695221452
"Dumfries",1169663.863,0,1413887.44,4297250.681,168823.8717,0,0,0,0,10474.18194,0,0,2.674545903,10111.38169,500.2702402,0,134069.8226,796.5230923,227183.4947,1449273.361,11096639.63,19978677.1955084,209252,1428,17212,11561230,20206769,"inland",33440,55.06654909,-3.59936405,5.579838204,"scotland",20206569.1955084,2224.5230923,17214.674545903,219363.38169,20206569.1955084,7060100.03764,600556.166868403,12545912.991,20206569.1955084,34.9396276494545,2.97208378650393,62.0882885640416
"Dundee",3470804.105,4326.854579,2793900.976,3342858.133,0,0,0,300.2145362,0,900.6283206,0,0,0,15541.22816,0,510172.2599,91780.06611,1693145.013,143975.5252,6137802.324,27869680.44,46075187.7678058,263756,30388,117961,35101739,46487293,"estuarine",147720,56.47683071,-3.002671853,4.706626964,"scotland",46487292.7678058,1723533.013,117961,279297.22816,46487292.7678058,9612790.6968996,2867019.3069062,34007482.764,46487292.7678058,20.6783190084083,6.16731828464685,73.1543627069449
