"name","Deciduous woodland","Coniferous woodland","Arable","Improved grassland","Neutral grassland","Calacareous grassland","Acid grassland","Fen","Heather","Heather grassland","Bog","Inland rock","Saltwater","Freshwater","Supralittoral rock","Supralittoral sediment","Littoral rock","Littoral sediment","Saltmarsh","Urban","Suburban","total_ceh","surface_water_area","foreshore_area","tidal_water_area","original_bua_area","200m_buff_area","class","population_counts","long","lat","imdd_weight_av","country","lc_lu_total"
"Blackpool",550760.8452,0,7294286.686,4589347.116,153222.5936,400.2754486,0,27846.53676,0,0,0,0,0,2418.787919,0,483036.3086,600.4070501,2596354.891,5003.392995,15227098.93,15939169.91,46869546.6805727,347138,40593,60711,35375479,47317789,"coastal",149070,53.79675633,-3.016898988,3.15294643,"england",47317988.6805727
"Bletchley",844156.9448,7833.20471,2110360.039,2033923.188,156869.1465,0,0,1433.382879,0,0,0,0,0,184018.2702,0,0,0,0,0,3677227.28,8412724.816,17428546.272089,313073,0,0,11482037,17741719,"inland",45010,51.99267267,-0.73749495,4.455317245,"england",17741619.272089
"Bloxwich",1337801.153,1381.680734,328136.8524,2144446.529,2101.675597,0,0,0,271.27941698,16757.37422,0,0,0,51012.29629,0,0,0,0,0,2340789.476,8619944.329,14842642.645658,307634,0,0,10719797,15150229,"inland",51875,52.61130599,-1.99796785,1.998227299,"england",15150276.645658
"Blyth (Northumberland)",557063.1736,0,1200589.365,560266.5084,11615.54245,0,0,0,0,1277.790809,0,0,1080.39384,0,0,124534.6887,360294.2761,586165.579,0,9261555.957,2174994.349,14839437.623899,42356,496457,1290718,11767865,16668969,"coastal",39730,55.12113427,-1.525314084,3.207737148,"england",16668968.623899
"Bognor Regis",46800.72968,4505.536898,1781829.716,3213674.057,46410.82341,0,400.234974,153717.4637,41957.74997,0,0,0,4545.40584,570.0181629,0,64051.58136,0,901369.6379,3101.752439,11844268.65,4580285.517,22687488.8743339,125869,460933,617895,16656597,23892184,"coastal",68435,50.79282598,-0.686762257,6.102991085,"england",23892185.8743339
"Bolton (Bolton)",5847481.545,63521.73189,342875.185,10739045.02,819171.4435,0,10729.87976,2201.716077,24752.95345,197052.0267,0,2001.559616,0,27602.79959,0,0,0,0,0,9456196.574,25337732.6,52870365.034583,956857,0,0,38595625,53827222,"inland",184090,53.58923159,-2.433847488,4.357166509,"england",53827222.034583
"Bootle (Sefton)",340853.4645,0,552498.0473,135635.7204,2139463.948,0,0,0,0,0,4603.202483,0,0,2432.38547,0,0,0,0,0,5295055.351,7201093.227,15671635.346153,128726,1795,29082,13059674,15800362,"estuarine",53720,53.45651175,-2.995869205,1.928431026,"england",15831238.346153
"Borehamwood",1063629.666,24628.67087,546792.828,3154975.901,0,200.0908227,100.0444625,0,33826.1621,53310.7889,0,0,0,4156.801864,0,0,0,0,0,1209645.79,6571629.333,12662896.0770192,25989,0,0,7784098,12688885,"inland",39765,51.6596723,-0.27560663,5.853799484,"england",12688885.0770192
"Boston",258815.6908,9612.268288,6572170.129,2600629.071,363.0469989,0,0,300.1074051,644.4107521,0,0,0,0,68460.12939,0,903.8507485,0,100297.7167,122917.6772,4053037.213,9835158.836,23623310.1472826,617585,65705,65289,14132031,24371889,"inland",45340,52.97393828,-0.021149005,5.495478156,"england",24371889.1472826
"Bournemouth",954292.6122,1187772.545,464214.3167,5776301.23,34900.15728,800.6352822,0,12418.33333,396664.2937,0,0,0,0.027438823,179931.8881,0,244290.6195,0,242505.9615,104801.7665,8755218.98,28992433.13,47346546.496531,219031,129243,1276514,38775819,49032925,"coastal",196455,50.74089814,-1.874901438,5.650075486,"england",48971334.496531
"Bracknell",2318207.629,1489555.051,534695.1422,2741302.458,14346.40395,100.0617974,0,300.1811792,173397.4126,349.7556335,0,0,0,107969.5279,0,0,0,0,0,2247689.335,15474283.01,25102195.9682601,132744,0,0,18975369,25234940,"inland",78675,51.40832785,-0.756450882,7.321946572,"england",25234939.9682601
"Bradford",4857816.935,33248.97123,582722.2018,14215250.06,0,271120.29,338212.377508,0,75255.27758,453062.6875,0,50940.44493,0,117038.074,0,0,0,0,0,20024494.59,41068438.48,82087600.389548,371656,0,0,63776692,82456955,"inland",333950,53.79276227,-1.763720184,2.485350808,"england",82459256.389548
"Braintree",809166.8193,8763.245841,2770648.601,3227736.283,0,0,5430.113476,96.90646519,0,0,0,0,0,7481.80428,0,0,0,0,0,2075192.257,7675240.675,16579756.7053622,130117,0,0,10453499,16709873,"inland",43190,51.88252462,0.555079324,5.797914268,"england",16709873.7053622
"Brent",953688.5032,8775.411581,156466.4099,4319838.016,0,0,0,0,17844.74001,600.2667,0,0,0,56512.29263,0,0,0,0,0,20861662.55,23829024.66,50204412.850021,428212,0,0,40901209,50632624,"inland",339800,51.56002644,-0.277925926,4.224770661,"england",50632624.850021
"Brentwood",3655122.977,203393.189,1538935.939,5150152.703,0,3200.547866,0,0,200.0352769,4181.45398,0,0,0,31764.782,0,0,0,0,0,1227855.199,12763574.3,24578381.1261229,126553,0,0,14402405,24704935,"inland",55340,51.62500547,0.299617695,8.257401663,"england",24704934.1261229
"Bridgend",1735413.842,42812.46368,950160.8094,3346159.535,200207.2602,0,4552.508327,242791.1449,100.0501303,76124.2753,0,0,0,0,0,0,0,0,0,2637117.612,13398760.09,22634199.5909373,148035,0,0,16313891,22782235,"inland",145500,51.50955158,-3.565638915,7.120221708,"wales",22782234.5909373
"Bridgwater",171966.9281,4927.965936,729063.0025,5248957.054,84916.2062,0,0,152165.2984,31951.62899,0,0,100.0676989,0,22866.3154,0,0,0,197970.0296,502383.7843,7875568.212,4382698.041,19405534.5341249,537116,7217,31583,12337113,19981451,"inland",47860,51.12444197,-3.003779914,4.392035464,"england",19981450.5341249
"Bridlington",274606.5829,0,1899482.148,2243313.287,0,0,0,0,0,0,0,300.138273,0,2265.335252,0,0,1000.447619,595565.4468,1700.777449,1974784.554,6198213.99,13191232.707293,14829,36578,254093,8934070,13496935,"coastal",34845,54.08950427,-0.203126312,3.958234723,"england",13496732.707293
"Brierley Hill",645763.4991,2384.084522,144866.9708,564783.2245,3967.038668,0,0,0,200.1593175,0,0,0,0,70756.21619,0,0,0,0,0,3584785.501,6347108.079,11364614.7730975,276000,0,0,8401685,11640615,"inland",32305,52.47539116,-2.120041445,3.728728939,"england",11640614.7730975
"Brighouse",2715263.833,0,429203.6565,4908717.116,0,30771.35951,0,0,7549.349798,153961.8491,0,0,0,81087.16097,0,0,0,0,0,2639878.249,7608737.565,18575170.138878,254378,890,0,9982285,18832840,"inland",33160,53.70437299,-1.786986377,5.74081538,"england",18830438.138878
"Brighton and Hove",1609772.452,15871.58395,2842327.232,3711146.421,0,9160901.087,0,0,0,100.0350449,0,0,2941.645985,14464.92621,0,519589.4692,0,529281.4999,52614.19266,10662722.81,29033608.56,58155341.9149499,184643,109392,1837602,41979507,60290262,"coastal",277105,50.84111121,-0.107296646,5.925459643,"england",60286978.9149499
"Bristol",6707710.275,145247.9255,810240.9013,12764235.12,38721.90613,18519.3925,6004.553584,72823.67274,301479.6831,0,0,27623.89575,0,53971.84739,0,0,0,265582.2461,283359.317,12341895.94,58613856.51,92451273.186094,613287,190826,257976,73455508,93513362,"inland",425215,51.45183731,-2.589760459,4.687712278,"england",93513362.186094
"Broadstairs",164295.8858,1992.324366,1791264.548,997770.1397,0,226647.2932,0,0,0,0,0,0,70.58849545,0,0,107353.6657,0,194206.1988,82765.17537,1759658.297,6650733.173,11976757.2894314,951,396093,333453,7692251,12642777,"coastal",25775,51.36394518,1.423654353,6.665250124,"england",12707254.2894314
"Bromley",14843092.04,706955.76267,4055349.465,21475635.87,0,280907.9179,400.137141,0,2200.670965,126018.934786,0,300.1067943,0,72360.40247,0,0,0,0,0,10740772.21,65358347.98,117662341.497726,391046,0,0,81146474,117988973,"inland",333000,51.3802026,0.044456559,7.504492346,"england",118053387.497726
"Bromsgrove",326276.831,16613.23959,1056361.808,3656463.564,51240.49425,0,0,0,0,0,0,0,0,19228.94861,0,0,0,0,0,1337816.711,7650769.665,14114771.26145,52384,0,0,9154170,14167156,"inland",34755,52.33088081,-2.057119032,7.004090595,"england",14167155.26145
"Burgess Hill",1599067.031,9644.85728,878156.7737,3141634.781,0,1200.439012,0,500.1802559,0,2899.576225,0,0,0,8172.888365,0,0,0,0,0,1165592.583,6915485.975,13722355.0848379,89619,0,0,8839553,13811974,"inland",33355,50.95734719,-0.131082463,8.703985258,"england",13811974.0848379
"Burnley",2895197.754,56305.35974,123564.9841,6071506.443,282285.9299,6280.783787,124641.6401,3660.196964,3556.791406,316413.9199,0,7442.738438,0,12337.04484,0,0,0,0,0,5295297.764,10779935.06,25978426.410175,333558,0,0,17018459,26311985,"inland",78255,53.79370582,-2.233979338,3.313787517,"england",26311984.410175
"Burntwood",708582.4928,22144.86098,1152185.086,2770624.172,0,0,16482.44648,0,21085.82708,2763.672662,0,0,0,13174.43643,0,0,0,0,0,1028282.171,6214897.687,11950222.852432,74466,0,0,7463445,12024689,"inland",27900,52.67929249,-1.924150327,6.804489214,"england",12024688.852432
"Burton End",1102711.703,3128.170613,2297417.705,3530606.13,0,2400.497739,15381.36023,0,0,0,0,0,0,1854.608882,0,0,0,0,0,3854832.325,1693252.596,12501585.096464,44116,0,0,7881060,12545701,"inland",175,51.87917117,0.221591422,6.677991032,"england",12545701.096464
"Burton upon Trent",2497431.95,24497.36809,4358556.693,9440277.386,100.0782991,300.2358385,0,1813.077105,600.4708285,38500.20949,0,2001.57267,0,280825.151,0,0,0,0,0,7677685.547,13504162.3,37826752.0393211,966542,0,0,23641632,38793294,"inland",76255,52.80213225,-1.647046627,5.784876992,"england",38793294.0393211
